Institution,Year,Researchers,Supervisors,Publications,Rcenters,Projects
1,2011,12.2,6,25,3,3
1,2012,15,6,30,3,3
1,2013,14,5,37,3,5
1,2014,14.2,6,37,3,5
1,2015,14.7,6,39,3,5
1,2016,16.4,5.2,44,3,5
2,2011,17.2,7,39,3,5
2,2012,17.2,8.4,43,3,5
2,2013,18.9,8.7,49,3,6
2,2014,20.2,8.7,54,3,7
2,2015,20.2,8.6,55,3,6
2,2016,21.9,7.4,57,4,7
3,2011,16.5,9,34,4,4
3,2012,19.1,9,43,3,6
3,2013,21.6,9,44,4,5
3,2014,22.3,10,45,4,5
3,2015,22.2,11.5,47,3,5
3,2016,23,12.5,61,4,9
4,2011,52.3,20,135,4,19
4,2012,60.4,20,163,4,21
4,2013,60.3,20,175,3,26
4,2014,65.7,21,181,3,26
4,2015,60.6,21,182,4,29
4,2016,64.9,21,190,4,28
5,2011,15.6,9,34,2,4
5,2012,14.4,9,37,3,5
5,2013,16.2,9.5,42,3,5
5,2014,15.1,9,42,3,6
5,2015,16.8,9.5,48,3,7
5,2016,15.8,9,49,2,7
6,2011,19.9,7,51,4,6
6,2012,19.2,7,53,4,7
6,2013,21.4,7,54,4,7
6,2014,19.8,7,56,4,8
6,2015,20,7,57,4,7
6,2016,21.5,7,62,3,8
7,2011,27.2,8,44,3,5
7,2012,26.4,10.3,57,3,7
7,2013,29.6,8,69,3,10
7,2014,29.5,7,76,3,10
7,2015,29.4,13.5,79,3,11
7,2016,31,13.5,79,3,9
8,2011,23.3,9.2,49,3,5
8,2012,23.5,21,59,2,6
8,2013,24.1,10,64,3,9
8,2014,26,11.9,66,3,9
8,2015,25.6,11.9,68,3,9
8,2016,26.4,10,72,2,12
9,2011,59,33.2,144,4,13
9,2012,64.3,33.2,150,4,19
9,2013,66.9,33.2,172,4,19
9,2014,73.6,33.2,191,4,24
9,2015,72.1,33.2,199,4,24
9,2016,79.2,33,203,4,25
10,2011,28.6,13.5,77,3,10
10,2012,30.5,13.7,78,3,9
10,2013,30.2,13.7,93,3,11
10,2014,30.4,14.6,95,3,12
10,2015,31.9,15.5,98,3,12
10,2016,32.5,13.7,101,3,13
11,2011,17.2,8.2,41,3,4
11,2012,16.9,6.8,46,3,5
11,2013,19.2,8.2,49,3,5
11,2014,19,8.8,52,3,6
11,2015,20.9,9.3,56,3,6
11,2016,19.3,9.3,57,3,6
12,2011,21,14.6,52,3,6
12,2012,24.1,14.6,63,3,8
12,2013,25.9,14.6,69,3,7
12,2014,31.5,16,78,3,9
12,2015,30.6,14.6,79,3,8
12,2016,33.1,16,79,3,8
13,2011,18.3,8,47,2,5
13,2012,20.7,10.5,56,2,6
13,2013,26.9,11,74,2,8
13,2014,31.8,13,80,2,10
13,2015,37.7,13,97,2,13
13,2016,42.5,15,138,2,17
14,2011,22.9,14,53,3,5
14,2012,25.2,14.5,60,3,8
14,2013,25.3,14,66,3,8
14,2014,28.1,14,73,3,10
14,2015,32.8,15,82,3,13
14,2016,35.4,15,89,3,14
15,2011,14.9,7.1,20,3,1
15,2012,16.6,7.1,21,2,1
15,2013,18.6,7.1,21,2,2
15,2014,15.4,7.1,22,3,1
15,2015,18,7.1,24,3,2
15,2016,17.9,7.1,27,3,3
16,2011,28.7,10,53,4,6
16,2012,30.6,12,56,4,7
16,2013,28.8,12,62,3,8
16,2014,30.4,12,84,3,9
16,2015,31.2,13,92,4,13
16,2016,38.5,13,119,3,16
17,2011,11,7.6,19,3,2
17,2012,11.3,7.6,21,3,2
17,2013,13.6,7.6,25,3,3
17,2014,15.1,7.6,28,3,4
17,2015,15.9,7,34,3,5
17,2016,17.1,10.8,34,3,5
18,2011,11.4,3,23,2,2
18,2012,12.7,10.4,25,2,2
18,2013,13.2,10.7,29,2,3
18,2014,13.6,10.7,29,2,3
18,2015,13.8,3.9,35,2,4
18,2016,15.6,4,40,2,5
19,2011,14.2,13.1,23,2,2
19,2012,15.2,13.1,28,2,3
19,2013,16.7,13.1,31,2,3
19,2014,18.5,13.1,37,2,6
19,2015,20.6,13.1,42,2,4
19,2016,23.2,13.1,53,2,8
20,2011,16,7,34,3,4
20,2012,19.6,8.5,38,3,5
20,2013,20.2,6,44,2,5
20,2014,19.8,11,47,2,8
20,2015,20.4,10.4,48,3,9
20,2016,22.7,6,51,3,8
21,2011,17.2,7,43,3,5
21,2012,18.8,9.4,46,3,5
21,2013,20,9.4,54,3,7
21,2014,25.5,8.8,69,2,9
21,2015,27.2,19.5,75,2,9
21,2016,25.4,10.9,77,3,10
22,2011,17.7,7,41,3,5
22,2012,19.2,7.6,44,3,5
22,2013,20.4,8.2,52,3,7
22,2014,23.2,7.6,59,3,8
22,2015,23.6,18.5,65,3,9
22,2016,25.1,33.6,68,3,8
23,2011,18.2,5,30,2,2
23,2012,18.2,4.9,32,3,4
23,2013,18.7,6,32,3,3
23,2014,19.7,8.1,33,3,3
23,2015,21,5,34,2,3
23,2016,20.9,5,35,2,3
24,2011,36,23,80,3,9
24,2012,36.7,23,80,3,9
24,2013,35.2,13.8,80,3,7
24,2014,36.2,23,83,3,9
24,2015,37,27,98,3,14
24,2016,42.2,27,106,2,14
25,2011,11.2,5,22,3,2
25,2012,15,6,33,2,3
25,2013,17,6,35,3,4
25,2014,21.6,6,51,3,6
25,2015,23.8,13,52,3,6
25,2016,26.2,13,54,2,7
26,2011,42.4,19,87,2,7
26,2012,48.2,19,104,3,11
26,2013,49.7,21,117,3,12
26,2014,54.5,22,123,3,14
26,2015,56.1,27,132,3,17
26,2016,54.7,27,134,3,17
27,2011,33.6,19,61,4,8
27,2012,37.4,19,64,4,8
27,2013,34.3,19,67,5,7
27,2014,32.9,19,67,5,8
27,2015,32.1,19.1,68,4,10
27,2016,33.3,19.1,71,5,10
28,2011,12.9,5,23,3,2
28,2012,13.4,5,24,3,3
28,2013,13.9,5,31,3,4
28,2014,15.4,5,36,3,5
28,2015,16.5,9,39,3,6
28,2016,17.1,9,44,3,7
29,2011,15.8,5.9,26,3,4
29,2012,13.9,6,31,3,4
29,2013,16.9,5.9,40,2,6
29,2014,16.6,5.9,44,3,6
29,2015,17.4,5.9,46,2,6
29,2016,18.4,8.1,50,3,7
30,2011,19.5,7.4,53,3,6
30,2012,19,6,53,3,7
30,2013,19.7,7.4,56,3,7
30,2014,20.2,7.4,60,3,7
30,2015,20.6,7.4,60,3,9
30,2016,21.3,6,62,3,8
31,2011,30.2,13,98,4,15
31,2012,33.4,13,102,3,14
31,2013,35.1,13,117,4,16
31,2014,33.8,13.3,120,4,16
31,2015,36.7,16,126,4,16
31,2016,43,16,144,4,19
32,2011,26.2,12,74,3,10
32,2012,27.7,12,75,3,9
32,2013,27,12,79,3,8
32,2014,28.1,12,85,3,13
32,2015,32.2,12,93,3,11
32,2016,30.7,12,94,3,13
33,2011,37.4,16,82,3,10
33,2012,38.2,17,94,3,10
33,2013,35.9,17,102,3,10
33,2014,36.8,18,104,3,11
33,2015,38.1,17,111,3,14
33,2016,37,16,123,3,13
34,2011,25.7,11.8,48,3,5
34,2012,27.6,12,53,3,6
34,2013,30.4,12,59,3,7
34,2014,30.8,12,65,3,10
34,2015,33.2,12,78,3,11
34,2016,37.3,12,82,3,14
35,2011,22.1,11,42,3,4
35,2012,24.7,11,46,3,4
35,2013,26.2,11,50,3,5
35,2014,29.3,11,54,3,5
35,2015,33.2,14,62,3,7
35,2016,36.1,14,76,3,8
36,2011,8.3,3,21,3,2
36,2012,13.4,3,30,3,2
36,2013,13.2,3,34,3,3
36,2014,16.6,6,43,3,5
36,2015,17.2,3,45,3,4
36,2016,19.8,6,55,3,7
37,2011,22.9,8,47,3,6
37,2012,22.8,8,50,3,6
37,2013,24.5,8,57,3,11
37,2014,26.3,8,63,3,12
37,2015,25.2,8,63,3,10
37,2016,27.2,8,69,3,11
38,2011,45.9,15,101,3,16
38,2012,46.1,15,120,3,19
38,2013,47.8,15,152,3,28
38,2014,51.4,15,153,3,31
38,2015,49.6,15,155,3,27
38,2016,50.6,15,159,3,27
39,2011,22.9,7.3,55,3,9
39,2012,24.7,7.3,63,3,9
39,2013,27,7.3,70,3,13
39,2014,25.9,8,72,3,14
39,2015,25.3,8.2,73,3,13
39,2016,27.7,8.2,78,3,15
40,2011,14.8,4.4,36,3,6
40,2012,14.9,4.4,36,3,5
40,2013,16.1,4.4,39,3,5
40,2014,16.2,6,39,3,6
40,2015,16.9,4.4,40,3,6
40,2016,15.9,4.4,42,3,6
41,2011,17.9,5.4,33,3,4
41,2012,15.8,5.5,35,3,6
41,2013,18.7,5.4,38,3,5
41,2014,18,5.4,40,3,7
41,2015,21,5.4,40,3,7
41,2016,19.9,5.4,43,3,7
